sample_id,depth_outlier,het_count,het_ratio,idr_baf,mean_depth,median_depth,p10,p90,sampled_sites,call_rate,PC1,PC2,PC3,PC4,ancestry-prediction,ancestry-prob
1045,False,6963,0.3395,0.1994,47.56,41,0.3868,0.5862,19910,0.9984,-0.07746,-1.377,0.4129,-1.027,EUR,0.9935
1046,False,6868,0.3349,0.1559,77.65,59,0.4066,0.5625,20266,0.9996,-0.1561,-1.38,0.4884,-1.15,EUR,0.9956
1202,False,6723,0.3278,0.208,44.09,39,0.3793,0.5873,19425,0.9923,-0.02123,-0.8325,-0.657,0.0506,SAS,0.8296
1203,False,6555,0.3196,0.2046,45.86,40,0.38,0.5846,19509,0.9937,-0.1658,-0.6918,-1.213,0.402,SAS,0.9918
1204,False,6917,0.3373,0.2079,45.8,40,0.3778,0.5857,19397,0.9916,0.1102,-1.001,-0.04556,-0.5566,UNKNOWN,0.4522
1232,False,7043,0.3434,0.1819,55.95,43,0.3958,0.5778,20264,0.9999,-0.4156,-1.105,0.7186,-0.2632,AMR,0.8758
1233,False,6952,0.339,0.1867,56.36,43,0.3939,0.5806,20318,0.9996,-0.297,-1.404,0.6045,-1.031,EUR,0.9972
1238,False,6405,0.3123,0.1804,58.26,44,0.3928,0.5732,20280,0.9995,-0.2383,-0.5279,-1.678,0.591,SAS,0.996
1264,False,6698,0.3266,0.1886,54.98,43,0.3947,0.5833,20029,0.999,-0.279,-1.308,0.5793,-0.7882,EUR,0.9902
1265,False,6963,0.3395,0.2022,47.69,41,0.3875,0.5897,19870,0.9987,-0.2278,-1.223,0.4836,-1.226,EUR,0.9943
1277A,False,6911,0.337,0.1993,48.27,40,0.3889,0.5882,19945,0.9988,-0.2259,-1.311,0.4211,-0.9028,EUR,0.9939
1278,False,6834,0.3332,0.203,48.16,41,0.3862,0.5892,20001,0.9987,-0.3466,-1.321,0.4827,-0.921,EUR,0.996
1279,False,6804,0.3318,0.1745,63.09,46,0.4,0.5745,20203,0.9996,-0.141,-1.206,0.3708,-0.8761,EUR,0.9857
