sample_a,sample_b,shared_hets,hets_a,ibs2,rel,hets_b,ibs0,n,pedigree_parents,pedigree_relatedness,predicted_parents,parent_error,sample_duplication_error,rel_difference
1045,1046,3508,6963,13649,0.5035,6868,25,20479,True,0.5,True,False,False,-0.003494
1045,1202,2552,6963,10462,-0.01815,6723,1337,20342,False,0,False,False,False,0.01815
1045,1203,2447,6963,10321,-0.0688,6555,1449,20368,False,0,False,False,False,0.0688
1045,1204,2598,6963,10454,0.01822,6917,1236,20327,False,0,False,False,False,-0.01822
1045,1232,2682,6963,10569,0.01609,7043,1285,20484,False,0,False,False,False,-0.01609
1045,1233,2656,6963,10580,0.004891,6952,1311,20478,False,0,False,False,False,-0.004891
1045,1238,2458,6963,10442,-0.1124,6405,1589,20476,False,0,False,False,False,0.1124
1045,1264,2632,6963,10704,-0.01762,6698,1375,20468,False,0,False,False,False,0.01762
1045,1265,3579,6963,13675,0.5062,6963,27,20461,True,0.5,True,False,False,-0.006247
1045,1277A,2647,6963,10626,0.01664,6911,1266,20463,False,0,False,False,False,-0.01664
1045,1278,2556,6963,10515,0.003219,6834,1267,20460,False,0,False,False,False,-0.003219
1045,1279,2565,6963,10530,-0.009847,6804,1316,20477,False,0,False,False,False,0.009847
1045,1313,2337,6963,10388,-0.1081,6302,1509,20480,False,0,False,False,False,0.1081
1045,1314,2329,6963,10157,-0.1385,6405,1608,20467,False,0,False,False,False,0.1385
1045,1315,2490,6963,10597,-0.04987,6497,1407,20469,False,0,False,False,False,0.04987
1045,1316,2669,6963,10684,0.01092,6871,1297,20467,False,0,False,False,False,-0.01092
1045,1335,2570,6963,10756,-0.00637,6593,1306,20474,False,0,False,False,False,0.00637
1045,1414,2289,6963,10285,-0.1405,6229,1582,20472,False,0,False,False,False,0.1405
1045,1415,2427,6963,10482,-0.1251,6276,1606,20465,False,0,False,False,False,0.1251
1045,1417,2405,6963,10379,-0.1819,6186,1765,20467,False,0,False,False,False,0.1819
1045,1418,2530,6963,10429,-0.1142,6517,1637,20473,False,0,False,False,False,0.1142
1045,1419,2545,6963,10353,-0.08223,6701,1548,20467,False,0,False,False,False,0.08223
1045,1420,2635,6963,10435,-0.05503,6851,1506,20479,False,0,False,False,False,0.05503
1045,1484,2711,6963,10662,0.01565,6991,1301,20477,False,0,False,False,False,-0.01565
1045,1501,2215,6963,10331,-0.1123,6171,1454,20480,False,0,False,False,False,0.1123
1045,1522,2477,6963,10448,-0.07985,6525,1499,20471,False,0,False,False,False,0.07985
1045,1542D444_001,2679,6963,10728,0.006874,6837,1316,20472,False,0,False,False,False,-0.006874
1045,1544D446_001,2509,6963,10246,-0.07905,6768,1522,20467,False,0,False,False,False,0.07905
1045,1652D520_001,2597,6963,10586,-0.00337,6824,1310,20469,False,0,False,False,False,0.00337
1045,1714D565_001,2733,6963,10713,0.01393,6964,1318,20479,False,0,False,False,False,-0.01393
1045,1715D565_002,2667,6963,10644,0.02628,6973,1242,20476,False,0,False,False,False,-0.02628
1045,1716D565_003,2774,6963,10867,0.02632,6914,1296,20468,False,0,False,False,False,-0.02632
1045,1762D594_001,2499,6963,10610,0.01976,6730,1183,20471,False,0,False,False,False,-0.01976
1045,1844D636_001,2729,6963,10906,0.05091,6894,1189,20475,False,0,False,False,False,-0.05091
1045,1845D636_002,2628,6963,10651,0.01974,6889,1246,20470,False,0,False,False,False,-0.01974
1045,1846D636_003,2619,6963,10758,0.03242,6816,1199,20476,False,0,False,False,False,-0.03242
1045,1883D650_001,2595,6963,10704,-0.00134,6717,1302,20475,False,0,False,False,False,0.00134
1045,1884D650_002,2624,6963,10631,-0.0008792,6824,1315,20465,False,0,False,False,False,0.0008792
1045,1907D663_001,2504,6963,10517,-0.005933,6742,1272,20468,False,0,False,False,False,0.005933
1045,1908D663_002,2634,6963,10639,-0.01148,6797,1356,20468,False,0,False,False,False,0.01148
1045,1910D664_001,2600,6963,10551,-0.02263,6804,1377,20473,False,0,False,False,False,0.02263
1045,1911D664_002,2590,6963,10540,0.01873,6941,1230,20474,False,0,False,False,False,-0.01873
1045,1912D664_003,2610,6963,10501,-0.0561,6738,1494,20466,False,0,False,False,False,0.0561
1045,1920D343_002,2272,6963,10374,-0.1438,6120,1576,20474,False,0,False,False,False,0.1438
1045,1921D343_003,2655,6963,10566,-0.01759,6880,1388,20469,False,0,False,False,False,0.01759
1045,1922D343_004,2391,6963,10350,-0.1001,6441,1518,20474,False,0,False,False,False,0.1001
1045,1938D663_003,2523,6963,10512,-0.02762,6699,1354,20469,False,0,False,False,False,0.02762
1045,1941D680_001,2569,6963,10888,0.02357,6575,1207,20477,False,0,False,False,False,-0.02357
1045,1942D680_002,2604,6963,10694,0.01033,6777,1267,20477,False,0,False,False,False,-0.01033
1045,1943D680_003,2650,6963,10939,0.03357,6672,1213,20465,False,0,False,False,False,-0.03357
1045,1944D680_004,2726,6963,11000,0.03416,6734,1248,20476,False,0,False,False,False,-0.03416
1045,1956D650_003,2764,6963,10902,0.01552,6829,1329,20476,False,0,False,False,False,-0.01552
1045,1958D686_001,2574,6963,10665,0.002376,6734,1279,20478,False,0,False,False,False,-0.002376
1045,1959D686_002,2577,6963,10562,-0.008376,6805,1317,20475,False,0,False,False,False,0.008376
1045,1978D343_001,2348,6963,10428,-0.1359,6196,1595,20474,False,0,False,False,False,0.1359
1045,1979D343_005,2452,6963,10320,-0.07538,6633,1476,20471,False,0,False,False,False,0.07538
1045,1997D706_001,2611,6963,10709,0.02099,6814,1234,20476,False,0,False,False,False,-0.02099
1045,1998D706_002,2614,6963,10795,0.0158,6707,1254,20475,False,0,False,False,False,-0.0158
1045,1999D706_003,2597,6963,10600,-0.0022,6817,1306,20472,False,0,False,False,False,0.0022
1045,2010PAX002_1,2676,6963,10644,0.02212,6980,1261,20476,False,0,False,False,False,-0.02212
1045,2011D711_001,2443,6963,10354,-0.07764,6582,1477,20474,False,0,False,False,False,0.07764
1045,2012D711_002,2432,6963,10326,-0.06672,6625,1437,20470,False,0,False,False,False,0.06672
1045,2013D711_003,2513,6963,10384,-0.05154,6733,1430,20472,False,0,False,False,False,0.05154
1045,2076PAX002_2,2513,6963,10540,-0.002222,6750,1264,20471,False,0,False,False,False,0.002222
1045,2077D536_001,2644,6963,10654,0.0125,6882,1279,20474,False,0,False,False,False,-0.0125
1045,2078D536_002,2621,6963,10729,0.006664,6753,1288,20475,False,0,False,False,False,-0.006664
1045,2084D748_001,2645,6963,10629,-0.00102,6865,1326,20475,False,0,False,False,False,0.00102
1045,2087D748_004,2515,6963,10422,-0.0533,6698,1436,20476,False,0,False,False,False,0.0533
1045,2088D748_005,2635,6963,10640,0.02383,6923,1235,20470,False,0,False,False,False,-0.02383
1045,687NYX005_01,2698,6963,10941,0.05083,6807,1176,20473,False,0,False,False,False,-0.05083
1045,CCGO_800014,2516,6963,10663,-0.0315,6349,1358,20238,False,0,False,False,False,0.0315
1045,CCGO_800015,2583,6963,10683,-0.009965,6523,1324,20277,False,0,False,False,False,0.009965
1045,CCGO_800016,2540,6963,10668,-0.007427,6463,1294,20251,False,0,False,False,False,0.007427
1045,CCGO_800017,2395,6963,10495,-0.03874,6325,1320,20258,False,0,False,False,False,0.03874
1045,CCGO_800018,2540,6963,10664,-0.008375,6448,1297,20227,False,0,False,False,False,0.008375
1045,CCGO_800042,2667,6963,10785,0.0143,6782,1285,20471,False,0,False,False,False,-0.0143
1045,CCGO_800043,2598,6963,10712,0.00684,6725,1276,20468,False,0,False,False,False,-0.00684
1045,CCGO_800044,2572,6963,10784,-0.0009124,6576,1289,20452,False,0,False,False,False,0.0009124
1045,CCGO_800059,2398,6963,10310,-0.1155,6288,1562,20276,False,0,False,False,False,0.1155
1045,CCGO_800060,2348,6963,10241,-0.1071,6295,1511,20252,False,0,False,False,False,0.1071
1045,CCGO_800061,2255,6963,10256,-0.1748,5954,1648,20241,False,0,False,False,False,0.1748
1045,CCGO_800062,2321,6963,10254,-0.1176,6200,1525,20233,False,0,False,False,False,0.1176
1045,CCGO_800067,2553,6963,10736,0.006838,6581,1254,20407,False,0,False,False,False,-0.006838
1045,CCGO_800068,2632,6963,10670,0.007939,6802,1289,20448,False,0,False,False,False,-0.007939
1045,CCGO_800069,2642,6963,10847,0.06283,6812,1107,20431,False,0,False,False,False,-0.06283
1045,CCGO_800070,2666,6963,10625,-0.002049,6832,1340,20412,False,0,False,False,False,0.002049
1045,CCGO_800071,2545,6963,10616,0.006102,6719,1252,20447,False,0,False,False,False,-0.006102
1045,CCGO_800116,2554,6963,10594,-0.02387,6536,1355,20292,False,0,False,False,False,0.02387
1045,CCGO_800117,2623,6963,10666,0.02424,6724,1230,20292,False,0,False,False,False,-0.02424
1045,CCGO_800118,2466,6963,10530,-0.008312,6497,1260,20258,False,0,False,False,False,0.008312
1045,CCGO_800155,2545,6963,10526,-0.0368,6603,1394,20371,False,0,False,False,False,0.0368
1045,CCGO_800156,2457,6963,10509,-0.0772,6386,1475,20389,False,0,False,False,False,0.0772
1045,CCGO_800157,2671,6963,10646,0.005436,6806,1317,20354,False,0,False,False,False,-0.005436
1045,CCGO_800158,2562,6963,10536,-0.02119,6702,1352,20411,False,0,False,False,False,0.02119
1045,CCGO_800159,2640,6963,10751,0.001199,6675,1316,20412,False,0,False,False,False,-0.001199
1045,CCGO_800160,2565,6963,10596,-0.02253,6612,1357,20363,False,0,False,False,False,0.02253
1045,CCGO_800161,2555,6963,10652,-0.02545,6563,1361,20412,False,0,False,False,False,0.02545
1045,CCGO_800188,1945,6963,10123,-0.3648,4926,1871,19810,False,0,False,False,False,0.3648
1045,CCGO_800296,2638,6963,10985,0.01079,6485,1284,20427,False,0,False,False,False,-0.01079
1045,CCGO_800297,2622,6963,10777,0.01373,6703,1265,20452,False,0,False,False,False,-0.01373
1045,CCGO_800298,2688,6963,10900,0.04071,6779,1206,20465,False,0,False,False,False,-0.04071
1045,CCGO_800299,2605,6963,10685,0.005784,6743,1283,20450,False,0,False,False,False,-0.005784
1045,CCGO_800308,2538,6963,10624,-0.0505,6455,1432,20374,False,0,False,False,False,0.0505
1045,CCGO_800347,2645,6963,10822,-0.01283,6623,1365,20468,False,0,False,False,False,0.01283
1045,CCGO_800365,2672,6963,10816,0.02848,6671,1241,20301,False,0,False,False,False,-0.02848
1045,CCGO_800412,2538,6963,10372,-0.06592,6705,1490,20433,False,0,False,False,False,0.06592
1045,CCGO_800413,2560,6963,10321,-0.04455,6868,1433,20449,False,0,False,False,False,0.04455
1045,CCGO_800414,2581,6963,10387,-0.02862,6884,1389,20446,False,0,False,False,False,0.02862
1045,CCGO_800512,2636,6963,10671,0.01577,6847,1264,20462,False,0,False,False,False,-0.01577
