error,het_count,het_ratio,hom_alt_count,hom_ref_count,ped_sex,predicted_sex,sample_id
False,1383,1.616,856,6490,female,female,1045
False,206,0.1416,1455,6947,male,male,1046
False,400,0.306,1307,6265,male,male,1202
False,1548,1.802,859,6214,female,female,1203
True,880,0.8397,1048,6152,male,female,1204
False,429,0.356,1205,6738,male,male,1232
False,1263,1.465,862,6678,female,female,1233
False,1056,1.054,1002,6758,female,female,1238
False,178,0.1265,1407,6795,male,male,1264
False,1216,1.328,916,6570,female,female,1265
False,651,0.5886,1106,6374,male,male,1277A
False,1319,1.499,880,6529,female,female,1278
False,420,0.3032,1385,6706,male,male,1279
False,141,0.08629,1634,6499,male,male,1313
False,141,0.1012,1393,6801,male,male,1314
False,1577,1.669,945,6219,female,female,1315
False,1352,1.494,905,6500,female,female,1316
False,1348,1.599,843,6538,female,female,1335
False,131,0.07882,1662,6602,male,male,1414
False,162,0.106,1529,6656,male,male,1415
False,173,0.1208,1432,6676,male,male,1417
False,192,0.1277,1504,6476,male,male,1418
False,1255,1.238,1014,6484,female,female,1419
False,167,0.1195,1397,6753,male,male,1420
False,149,0.1124,1326,7005,male,male,1484
False,1080,1.051,1028,6747,female,female,1501
False,1423,1.592,894,6513,female,female,1522
False,839,1.956,429,3004,female,female,1542D444_001
False,707,1.384,511,3012,female,female,1544D446_001
False,813,1.922,423,3021,female,female,1652D520_001
False,138,0.1986,695,3352,male,male,1714D565_001
False,701,1.744,402,3183,female,female,1715D565_002
True,113,0.1715,659,3325,unknown,male,1716D565_003
False,665,1.626,409,3179,female,female,1762D594_001
False,286,0.5062,565,3344,male,male,1844D636_001
True,601,1.434,419,3247,male,female,1845D636_002
True,236,0.4034,585,3319,female,male,1846D636_003
False,685,1.836,373,3232,female,female,1883D650_001
False,538,1.376,391,3318,female,female,1884D650_002
False,289,0.4609,627,3080,male,male,1907D663_001
False,618,1.296,477,3147,female,female,1908D663_002
False,685,1.604,427,3115,female,female,1910D664_001
False,152,0.2184,696,3163,male,male,1911D664_002
False,637,1.444,441,3156,female,female,1912D664_003
False,718,1.722,417,3144,female,female,1920D343_002
True,636,1.423,447,3189,unknown,female,1921D343_003
True,630,1.273,495,3138,unknown,female,1922D343_004
False,299,0.4607,649,3160,male,male,1938D663_003
False,597,1.492,400,3262,female,female,1941D680_001
False,127,0.1975,643,3351,male,male,1942D680_002
False,626,1.593,393,3196,female,female,1943D680_003
False,632,1.534,412,3226,female,female,1944D680_004
False,146,0.2317,630,3340,male,male,1956D650_003
False,835,2.022,413,3015,female,female,1958D686_001
False,818,2.081,393,3045,female,female,1959D686_002
False,696,1.661,419,3141,female,female,1978D343_001
False,101,0.1385,729,3330,male,male,1979D343_005
False,627,1.493,420,3223,female,female,1997D706_001
True,123,0.1737,708,3311,unknown,male,1998D706_002
True,693,1.737,399,3158,unknown,female,1999D706_003
True,437,0.7259,602,3078,male,female,2010PAX002_1
False,285,0.4391,649,3229,male,male,2011D711_001
False,320,0.5047,634,3205,male,male,2012D711_002
False,720,1.582,455,3082,female,female,2013D711_003
True,427,0.7023,608,3105,male,female,2076PAX002_2
False,848,2.024,419,3016,female,female,2077D536_001
False,855,2.096,408,3004,female,female,2078D536_002
False,264,0.3865,683,3173,male,male,2084D748_001
True,397,0.6455,615,3074,male,female,2087D748_004
False,873,2.089,418,2980,female,female,2088D748_005
True,124,0.1922,645,3344,unknown,male,687NYX005_01
False,1303,1.758,741,6587,female,female,CCGO_800014
False,1279,1.665,768,6589,female,female,CCGO_800015
False,127,0.094,1351,6850,male,male,CCGO_800016
False,138,0.107,1290,6946,male,male,CCGO_800017
False,145,0.1089,1332,6797,male,male,CCGO_800018
False,1349,1.484,909,6492,female,female,CCGO_800042
False,262,0.1901,1378,6794,male,male,CCGO_800043
False,1276,1.435,889,6558,female,female,CCGO_800044
False,138,0.09664,1428,6421,male,male,CCGO_800059
True,146,0.09845,1483,6169,female,male,CCGO_800060
True,1177,1.252,940,6384,male,female,CCGO_800061
False,1528,1.713,892,6081,female,female,CCGO_800062
False,162,0.1144,1416,6517,male,male,CCGO_800067
False,1357,1.533,885,6445,female,female,CCGO_800068
False,127,0.1011,1256,6863,male,male,CCGO_800069
False,1389,1.591,873,6389,female,female,CCGO_800070
False,179,0.1268,1412,6726,male,male,CCGO_800071
True,686,0.6478,1059,6047,male,female,CCGO_800116
False,1470,1.87,786,6250,female,female,CCGO_800117
False,471,0.4043,1165,6411,male,male,CCGO_800118
False,1326,1.533,865,6394,female,female,CCGO_800155
